0.998750	1.232750	A
1.498750	1.748000	E
1.998000	2.252000	I
2.498000	2.764000	O
3.014000	3.238000	U
3.470000	3.750000	B
3.952000	4.233000	C
4.479000	4.746000	D
4.970000	5.226000	F
5.470000	5.724000	G
5.914000	6.243000	H
6.460000	6.774000	J
6.958000	7.236000	K
7.490000	7.742000	L
7.987000	8.245000	M
8.492000	8.747000	N
8.992000	9.240000	P
9.477000	9.751000	Q
9.954000	10.234000	R
10.418000	10.742000	S
10.968000	11.048000	T
11.478000	11.738000	V
11.938000	12.216000	W
12.474000	12.596000	X
12.994000	13.248000	Y
13.444000	13.790000	Z
