0.494000	0.761428	A
1.470856	1.764284	E
2.475570	2.759712	I
3.495140	3.762568	O
4.497996	4.765424	U
5.471138	5.764566	B
6.418280	6.767423	C
7.435994	7.777708	D
8.386850	8.761992	F
9.452849	9.764849	G
10.347991	10.771419	H
11.439990	11.770561	J
12.398275	12.777132	K
13.456845	13.768845	L
14.433702	14.760559	M
15.440272	15.763415	N
16.439414	16.758843	P
17.427413	18.010556	Q
18.452555	18.775698	R
19.403412	19.778554	S
20.458268	20.833410	T
21.360839	21.825124	V
22.434266	22.761123	W
23.403694	24.027693	X
24.369407	24.781693	Y
25.401978	25.769692	Z
