0.494000	0.804142	A
1.561856	1.801427	E
2.560998	2.845140	I
3.495140	3.805282	O
4.497996	4.835996	U
5.402424	5.827709	B
6.479566	6.824994	C
7.395136	7.829707	D
8.403564	8.821421	F
9.404563	9.826134	G
10.464991	10.832705	H
11.397276	11.826275	J
12.476275	12.823560	K
13.373274	13.826417	L
14.494987	15.003844	M
15.495986	16.006700	N
16.489557	16.829414	P
17.477556	17.834127	Q
18.394984	18.827698	R
19.399697	19.823126	S
20.482411	20.833410	T
21.403553	21.825124	V
22.363695	22.839123	W
23.403694	23.789979	X
24.395407	24.826264	Y
25.401978	25.827263	Z
