0.998750	1.232750	A
1.498750	1.748000	E
1.998000	2.252000	I
2.498000	2.764000	O
3.007000	3.238000	U
3.470000	3.750000	B
3.952000	4.233000	C
4.479000	4.746000	D
4.970000	5.239000	F
5.470000	5.724000	G
5.983000	6.290000	H
6.511000	6.812000	J
6.951000	7.236000	K
7.350000	7.638000	L
7.901000	8.152000	M
8.406000	8.655000	N
8.832000	9.151000	P
9.346000	9.628000	Q
9.889000	10.140000	R
10.289000	10.633000	S
10.868000	10.930000	T
11.343000	11.637000	V
11.782000	12.128000	W
12.323000	12.611000	X
12.905000	13.157000	Y
13.380000	13.717000	Z
