0.494000	0.952539	A
1.493428	2.015170	E
2.484260	3.015576	I
3.484665	4.011194	O
4.497996	4.978093	U
5.402424	5.968925	B
6.471521	6.969330	C
7.471926	7.964949	D
8.371812	8.965354	F
9.477523	9.960972	G
10.425275	10.990097	H
11.440040	11.966569	J
12.476275	12.966975	K
13.373274	13.967380	L
14.479549	15.003844	M
15.484741	16.006700	N
16.470786	16.959022	P
17.174421	17.969001	Q
18.394984	18.974193	R
19.337976	19.965025	S
20.458047	20.965430	T
21.439306	21.975408	V
22.425351	22.985387	W
23.325237	23.976219	X
24.416588	24.971837	Y
25.359554	25.991389	Z
