0.998750	1.232750	A
1.498750	1.738750	E
1.998000	2.225000	I
2.508000	2.721000	O
3.014000	3.238000	U
3.470000	3.735000	B
3.952000	4.233000	C
4.479000	4.746000	D
4.914000	5.226000	F
5.436000	5.720000	G
5.939000	6.243000	H
6.460000	6.774000	J
6.933000	7.205000	K
7.456000	7.742000	L
7.987000	8.245000	M
8.492000	8.747000	N
8.999000	9.240000	P
9.477000	9.751000	Q
9.997000	10.234000	R
10.402000	10.710000	S
10.954000	11.006000	T
11.426000	11.710000	V
11.895000	12.202000	W
12.396000	12.698000	X
12.965000	13.200000	Y
13.462000	13.790000	Z
