0.998750	1.232750	A
1.498750	1.738750	E
1.998000	2.225000	I
2.508000	2.721000	 O
3.014000	3.238000	U
3.470000	3.735000	B
3.952000	4.233000	C
4.479000	4.746000	D
4.914000	5.226000	F
5.436000	5.720000	G
5.939000	6.243000	H
6.460000	6.774000	J
6.933000	7.205000	K
7.412000	7.732000	L
7.962000	8.214000	M
8.472000	8.726000	N
8.958000	9.214000	P
9.422000	9.718000	Q
9.960000	10.206000	R
10.414000	10.710000	S
10.954000	11.006000	T
11.400000	11.710000	V
11.846000	12.202000	W
12.390000	12.698000	X
12.976000	13.200000	Y
13.462000	13.790000	Z
